row_index,view_id,node_id,view_label,image_path,use_for_localization
36,3F_3044_axis_toEnd_01,3044,axis_toEnd,../view/3F/3044/3F_3044_axis_toEnd_01.jpg,true
37,3F_3044_to3013_foyer_01,3044,to3013_foyer,../view/3F/3044/3F_3044_to3013_foyer_01.jpg,true
38,3F_3044_to3013_foyer_02,3044,to3013_foyer,../view/3F/3044/3F_3044_to3013_foyer_02.jpg,true
39,3F_3044_to3043_ent_01,3044,to3043_ent,../view/3F/3044/3F_3044_to3043_ent_01.jpg,false
40,3F_3046_axis_to3044_01,3046,axis_to3044,../view/3F/3046/3F_3046_axis_to3044_01.jpg,true
41,3F_3046_axis_to3048_01,3046,axis_to3048,../view/3F/3046/3F_3046_axis_to3048_01.jpg,true
42,3F_3046_to3045_ent_01,3046,to3045_ent,../view/3F/3046/3F_3046_to3045_ent_01.jpg,false
43,3F_3046_to3132_foyer_01,3046,to3132_foyer,../view/3F/3046/3F_3046_to3132_foyer_01.jpg,true
44,3F_3046_to3132_foyer_02,3046,to3132_foyer,../view/3F/3046/3F_3046_to3132_foyer_02.jpg,true
45,3F_3048_axis_to3046_01,3048,axis_to3046,../view/3F/3048/3F_3048_axis_to3046_01.jpg,true
46,3F_3048_axis_to3050_01,3048,axis_to3050,../view/3F/3048/3F_3048_axis_to3050_01.jpg,true
47,3F_3048_to3047_ent_01,3048,to3047_ent,../view/3F/3048/3F_3048_to3047_ent_01.jpg,false
48,3F_3048_to3131_foyer_01,3048,to3131_foyer,../view/3F/3048/3F_3048_to3131_foyer_01.jpg,true
49,3F_3048_to3131_foyer_02,3048,to3131_foyer,../view/3F/3048/3F_3048_to3131_foyer_02.jpg,true
50,3F_3050_axis_to3048_01,3050,axis_to3048,../view/3F/3050/3F_3050_axis_to3048_01.jpg,true
51,3F_3050_axis_to3052_01,3050,axis_to3052,../view/3F/3050/3F_3050_axis_to3052_01.jpg,true
52,3F_3050_to3049_ent_01,3050,to3049_ent,../view/3F/3050/3F_3050_to3049_ent_01.jpg,false
53,3F_3050_to3141_foyer_01,3050,to3141_foyer,../view/3F/3050/3F_3050_to3141_foyer_01.jpg,true
54,3F_3050_to3141_foyer_02,3050,to3141_foyer,../view/3F/3050/3F_3050_to3141_foyer_02.jpg,true
55,3F_3070_301A_ENT_01,3070,301A_ENT,../view/3F/3070/3F_3070_301A_ENT_01.jpg,false
56,3F_3070_301A_ENT_02,3070,301A_ENT,../view/3F/3070/3F_3070_301A_ENT_02.jpg,false
57,3F_3071_301B_ENT_01,3071,301B_ENT,../view/3F/3071/3F_3071_301B_ENT_01.jpg,false
58,3F_3071_301B_ENT_02,3071,301B_ENT,../view/3F/3071/3F_3071_301B_ENT_02.jpg,false
59,3F_3072_302_ENT_01,3072,302_ENT,../view/3F/3072/3F_3072_302_ENT_01.jpg,false
60,3F_3073_303_ENT_01,3073,303_ENT,../view/3F/3073/3F_3073_303_ENT_01.jpg,false
61,3F_3074_304A_ENT_01,3074,304A_ENT,../view/3F/3074/3F_3074_304A_ENT_01.jpg,false
62,3F_3075_304B_ENT_01,3075,304B_ENT,../view/3F/3075/3F_3075_304B_ENT_01.jpg,false
63,3F_3076_305A_ENT_01,3076,305A_ENT,../view/3F/3076/3F_3076_305A_ENT_01.jpg,false
64,3F_3077_305B_ENT_01,3077,305B_ENT,../view/3F/3077/3F_3077_305B_ENT_01.jpg,false
65,3F_3078_306_ENT_01,3078,306_ENT,../view/3F/3078/3F_3078_306_ENT_01.jpg,false
66,3F_3079_DEST_01,3079,DEST,../view/3F/3079/3F_3079_DEST_01.jpg,false
67,3F_3079_from3044_01,3079,from3044,../view/3F/3079/3F_3079_from3044_01.jpg,true
68,3F_3079_from3046_01,3079,from3046,../view/3F/3079/3F_3079_from3046_01.jpg,true
69,3F_3080_ENT_01,3080,ENT,../view/3F/3080/3F_3080_ENT_01.jpg,false
70,3F_3080_from3014_01,3080,from3014,../view/3F/3080/3F_3080_from3014_01.jpg,true
71,3F_3080_from3014_02,3080,from3014,../view/3F/3080/3F_3080_from3014_02.jpg,true
72,3F_3122_E7_ent_01,3122,E7_ent,../view/3F/3122/3F_3122_E7_ent_01.jpg,false
73,3F_3123_E8_ent_01,3123,E8_ent,../view/3F/3123/3F_3123_E8_ent_01.jpg,false
74,3F_3131_axis_from3132_01,3131,axis_from3132,../view/3F/3131/3F_3131_axis_from3132_01.jpg,true
75,3F_3131_axis_from3141_01,3131,axis_from3141,../view/3F/3131/3F_3131_axis_from3141_01.jpg,true
76,3F_3131_axis_to3132_01,3131,axis_to3132,../view/3F/3131/3F_3131_axis_to3132_01.jpg,true
77,3F_3131_axis_to3141_01,3131,axis_to3141,../view/3F/3131/3F_3131_axis_to3141_01.jpg,true
78,3F_3131_context_01,3131,context,../view/3F/3131/3F_3131_context_01.jpg,true
79,3F_3131_context_02,3131,context,../view/3F/3131/3F_3131_context_02.jpg,true
80,3F_3131_from3134_01,3131,from3134,../view/3F/3131/3F_3131_from3134_01.jpg,true
81,3F_3131_from3144_01,3131,from3144,../view/3F/3131/3F_3131_from3144_01.jpg,true
82,3F_3131_fromC_01,3131,fromC,../view/3F/3131/3F_3131_fromC_01.jpg,true
83,3F_3131_to3134_01,3131,to3134,../view/3F/3131/3F_3131_to3134_01.jpg,true
84,3F_3131_to3144_01,3131,to3144,../view/3F/3131/3F_3131_to3144_01.jpg,true
85,3F_3131_toC_01,3131,toC,../view/3F/3131/3F_3131_toC_01.jpg,true
86,3F_3131_toC_02,3131,toC,../view/3F/3131/3F_3131_toC_02.jpg,true
87,3F_3131_toC_03,3131,toC,../view/3F/3131/3F_3131_toC_03.jpg,true
88,3F_3132_axis_from3013_01,3132,axis_from3013,../view/3F/3132/3F_3132_axis_from3013_01.jpg,true
89,3F_3132_axis_from3013_02,3132,axis_from3013,../view/3F/3132/3F_3132_axis_from3013_02.jpg,true
90,3F_3132_axis_from3131_01,3132,axis_from3131,../view/3F/3132/3F_3132_axis_from3131_01.jpg,true
91,3F_3132_axis_to3013_01,3132,axis_to3013,../view/3F/3132/3F_3132_axis_to3013_01.jpg,true
92,3F_3132_context_01,3132,context,../view/3F/3132/3F_3132_context_01.jpg,true
93,3F_3132_context_02,3132,context,../view/3F/3132/3F_3132_context_02.jpg,true
94,3F_3132_from3014_01,3132,from3014,../view/3F/3132/3F_3132_from3014_01.jpg,true
95,3F_3132_from3143_01,3132,from3143,../view/3F/3132/3F_3132_from3143_01.jpg,true
96,3F_3132_to3014_01,3132,to3014,../view/3F/3132/3F_3132_to3014_01.jpg,true
97,3F_3132_to3143_01,3132,to3143,../view/3F/3132/3F_3132_to3143_01.jpg,true
98,3F_3132_to3143_02,3132,to3143,../view/3F/3132/3F_3132_to3143_02.jpg,true
99,3F_3134_CONN_01,3134,CONN,../view/3F/3134/3F_3134_CONN_01.jpg,true
100,3F_3135_to3017_01,3135,to3017,../view/3F/3135/3F_3135_to3017_01.jpg,true
101,3F_3135_to3140_01,3135,to3140,../view/3F/3135/3F_3135_to3140_01.jpg,true
102,3F_3136_CONN_01,3136,CONN,../view/3F/3136/3F_3136_CONN_01.jpg,true
103,3F_3136_from3140_01,3136,from3140,../view/3F/3136/3F_3136_from3140_01.jpg,true
104,3F_3136_from3140_02,3136,from3140,../view/3F/3136/3F_3136_from3140_02.jpg,true
105,3F_3140_from3136_01,3140,from3136,../view/3F/3140/3F_3140_from3136_01.jpg,true
106,3F_3140_to3016_01,3140,to3016,../view/3F/3140/3F_3140_to3016_01.jpg,true
107,3F_3140_to3135_01,3140,to3135,../view/3F/3140/3F_3140_to3135_01.jpg,true
108,3F_3141_axis_to3131_01,3141,axis_to3131,../view/3F/3141/3F_3141_axis_to3131_01.jpg,true
109,3F_3141_axis_to3142_01,3141,axis_to3142,../view/3F/3141/3F_3141_axis_to3142_01.jpg,true
110,3F_3141_context_01,3141,context,../view/3F/3141/3F_3141_context_01.jpg,true
111,3F_3141_context_02,3141,context,../view/3F/3141/3F_3141_context_02.jpg,true
112,3F_3141_from_axis_01,3141,from_axis,../view/3F/3141/3F_3141_from_axis_01.jpg,true
113,3F_3141_from_axis_02,3141,from_axis,../view/3F/3141/3F_3141_from_axis_02.jpg,true
114,3F_3143_CONN_01,3143,CONN,../view/3F/3143/3F_3143_CONN_01.jpg,true
115,3F_3143_back_to3132_01,3143,back_to3132,../view/3F/3143/3F_3143_back_to3132_01.jpg,true
116,3F_3144_CONN_01,3144,CONN,../view/3F/3144/3F_3144_CONN_01.jpg,true
117,3F_3147_DEST_01,3147,DEST,../view/3F/3147/3F_3147_DEST_01.jpg,false
118,3F_3147_from3140_01,3147,from3140,../view/3F/3147/3F_3147_from3140_01.jpg,true
119,3F_3147_from3140_02,3147,from3140,../view/3F/3147/3F_3147_from3140_02.jpg,true
120,3F_3148_CONN_01,3148,CONN,../view/3F/3148/3F_3148_CONN_01.jpg,true
121,3F_3149_ENT_01,3149,ENT,../view/3F/3149/3F_3149_ENT_01.jpg,false
122,3F_3150_DEST_01,3150,DEST,../view/3F/3150/3F_3150_DEST_01.jpg,false
123,3F_3150_from3132_01,3150,from3132,../view/3F/3150/3F_3150_from3132_01.jpg,true
124,3F_3150_from3132_02,3150,from3132,../view/3F/3150/3F_3150_from3132_02.jpg,true
125,3F_3153_from3048_01,3153,from3048,../view/3F/3153/3F_3153_from3048_01.jpg,true
126,3F_3153_from3050_01,3153,from3050,../view/3F/3153/3F_3153_from3050_01.jpg,true
